id,type,subtype,name,address,phone,email,url,photos,source
17324e4c-1215-409b-ba9e-ca431d9d5864,hotel,3-star | standard | Standard | BB,33 Soksoom Hotel,Thimphu,322007/339594,namselinghotel@gmail.com,,https://res.cloudinary.com/dvivq8oji/image/upload/v1774155684/hotels/33-soksoom-hotel.jpg,hotels.json + source/library_hotels_rows.csv
7451b17b-b2ae-4c19-b4a2-ff4e703183f2,hotel,2-star | basic | Standard | BB,ABC Lodge,Wangdue Phodrang,,,,https://res.cloudinary.com/dvivq8oji/image/upload/v1774151654/hotels/abc-lodge.jpg,hotels.json + source/library_hotels_rows.csv
4e95ea8d-eb83-4013-a58b-c218090d8f23,hotel,3-star | standard | Standard | BB,Alem Hotel & Resort,Chhukha,17525363/77376930,alembhutan@gmail.com,https://wa.me/97517525363,,hotels.json + source/library_hotels_rows.csv
0b026ae8-4659-4720-ba57-9abd0734a878,hotel,3-star | standard | Standard | BB,Ananda Resort,Paro,08276670/77831582,info@anandaresortbhutan.com,https://wa.me/97508276670,https://res.cloudinary.com/dvivq8oji/image/upload/v1774151226/hotels/ananda-resort.jpg,hotels.json + source/library_hotels_rows.csv
764d2696-0d99-4164-8f61-d55bccb44ea9,hotel,5-star | luxury | Standard | BB,Bhuan Venture Hospility Pvt.Ltd (Six Senses),Paro,350827/350772,restm.pro-bhutan@sixsenses.com,,,hotels.json + source/library_hotels_rows.csv
37f7febe-1011-4cd0-9956-c3e3ff9c3972,hotel,3-star | standard | Standard | BB,Bhutan Boutique Residency,Thimphu,17627884,bhutanboutiqueresidency@gmail.com,https://wa.me/97517627884,,hotels.json + source/library_hotels_rows.csv
62336314-c0e6-4191-862d-9571049f37ea,hotel,4-star | premium | Standard | BB,Bhutan Peaceful Residency & Spa,Thimphu,17140222,bhutanpeaceful2022@gmail.com,https://wa.me/97517140222,,hotels.json + source/library_hotels_rows.csv
2b24b3d4-ec49-42a3-ad77-c0e00b92f4a4,hotel,5-star | luxury | Standard | BB,Bhutan Resort Private Ltd(Amankora Resort),Paro,8272333,tnorbu@aman.com,https://wa.me/9758272333,https://res.cloudinary.com/dvivq8oji/image/upload/v1774154071/hotels/bhutan-resort-private-ltdamankora-resort.jpg,hotels.json + source/library_hotels_rows.csv
5f5b40ff-8ee7-437e-a37c-dd1b022c1fac,hotel,5-star | luxury | Standard | BB,Bhutan Resort Private Ltd(Amankora Resort),Bumthang,3631555,cdorji@amanresorts.com,https://wa.me/9753631555,https://res.cloudinary.com/dvivq8oji/image/upload/v1774154071/hotels/bhutan-resort-private-ltdamankora-resort.jpg,hotels.json + source/library_hotels_rows.csv
0e61a941-7008-4468-928b-31d33328c6de,hotel,5-star | luxury | Standard | BB,Bhutan Spirit Sanctuary,Paro,17288066,talent@bhutanspiritsanctuary.com,https://wa.me/97517288066,https://res.cloudinary.com/dvivq8oji/image/upload/v1774148463/hotels/bhutan-spirit-sanctuary.jpg,hotels.json + source/library_hotels_rows.csv
11aecc1e-86df-4432-93d4-2bff7a60dd94,hotel,5-star | luxury | Standard | BB,Bhutan Ventures Hospitality Pvt. Ltd (Six Senses),Wangdue Phodrang,2350775,tshering.phuntsho@sixsenses.com,https://wa.me/9752350775,https://res.cloudinary.com/dvivq8oji/image/upload/v1774162725/hotels/bhutan-ventures-hospitality-pvt-ltd-six-senses.jpg,hotels.json + source/library_hotels_rows.csv
7ac25f05-57ec-48ec-a16f-a6b40d759158,hotel,3-star | standard | Standard | BB,Central Hotel,Chhukha,05252172/177949900,reservation@centralhotelbhutan.com,https://wa.me/97505252172,,hotels.json + source/library_hotels_rows.csv
73a7ab53-dc27-41b4-a220-74c91efdaea5,hotel,3-star | standard | Standard | BB,Chhume Nature Resort,Bumthang,3541176/17114837,chumeynatureresort@yahoo.com,https://wa.me/9753541176,https://res.cloudinary.com/dvivq8oji/image/upload/v1774162648/hotels/chhume-nature-resort.jpg,hotels.json + source/library_hotels_rows.csv
4228088f-8fed-4abf-b473-721e9d7c6c0a,hotel,3-star | standard | Standard | BB,City Hotel,Thimphu,17164142,info@cityhotelthimphu.com,https://wa.me/97517164142,,hotels.json + source/library_hotels_rows.csv
5451b935-632f-464a-83b3-e2d33c6dcfbf,hotel,3-star | standard | Standard | BB,Damchen  Riverside Resort,Punakha,584367/17360545,damchenresorts@gmail.com,,https://res.cloudinary.com/dvivq8oji/image/upload/v1774148536/hotels/damchen-riverside-resort.jpg,hotels.json + source/library_hotels_rows.csv
1f31105d-a936-4cd8-8ccf-de84070765a8,hotel,standard | Standard | BB,Dewaling Hotel,Phuentsholing,,,,https://res.cloudinary.com/dvivq8oji/image/upload/v1774146036/hotels/dewaling-hotel.jpg,hotels.json + source/library_hotels_rows.csv
